"year","age","sex","people","perc"
2000,15,1,14480367,12.3
2000,20,1,16346745,13.9
2000,25,1,14468665,12.3
2000,30,1,13436025,11.4
2000,35,1,12497963,10.7
2000,40,1,10779160,9.1
2000,45,1,8928759,7.6
2000,50,1,7105097,6.0
2000,55,1,5445582,4.6
2000,60,1,4513522,3.8
2000,65,1,3493661,3.0
2000,70,1,2696950,2.3
2000,75,1,1759132,1.4
2000,80,1,994067,0.8
2000,85,1,493932,0.5
2000,90,1,284467,0.3
2001,15,1,14549419,12.1
2001,20,1,16738956,13.9
2001,25,1,14751901,12.3
2001,30,1,13572135,11.3
2001,35,1,12699486,10.5
2001,40,1,11103110,9.2
2001,45,1,9245644,7.7
2001,50,1,7404596,6.2
2001,55,1,5652053,4.7
2001,60,1,4611832,3.8
2001,65,1,3589547,3.0
2001,70,1,2756503,2.3
2001,75,1,1832671,1.6
2001,80,1,1031252,0.8
2001,85,1,496283,0.5
2001,90,1,290396,0.3
2002,15,1,14487638,11.8
2002,20,1,17146912,13.9
2002,25,1,15074831,12.3
2002,30,1,13712393,11.2
2002,35,1,12860762,10.5
2002,40,1,11430728,9.3
2002,45,1,9561223,7.8
2002,50,1,7704810,6.2
2002,55,1,5900595,4.8
2002,60,1,4697462,3.8
2002,65,1,3706117,3.0
2002,70,1,2805444,2.3
2002,75,1,1912831,1.6
2002,80,1,1072847,0.9
2002,85,1,507823,0.5
2002,90,1,294994,0.3
2003,15,1,14328416,11.4
2003,20,1,17525805,14.0
2003,25,1,15429819,12.3
2003,30,1,13870533,11.0
2003,35,1,12994475,10.3
2003,40,1,11748126,9.4
2003,45,1,9876810,7.8
2003,50,1,8006479,6.4
2003,55,1,6179657,4.9
2003,60,1,4787311,3.8
2003,65,1,3833079,3.1
2003,70,1,2853004,2.3
2003,75,1,1993863,1.6
2003,80,1,1119013,0.9
2003,85,1,525567,0.5
2003,90,1,300000,0.3
2004,15,1,14140634,11.1
2004,20,1,17809769,13.9
2004,25,1,15805016,12.4
2004,30,1,14065051,11.0
2004,35,1,13120828,10.3
2004,40,1,12034508,9.4
2004,45,1,10195079,8.0
2004,50,1,8312316,6.5
2004,55,1,6470614,5.1
2004,60,1,4906585,3.9
2004,65,1,3954731,3.1
2004,70,1,2912039,2.3
2004,75,1,2068284,1.6
2004,80,1,1170440,0.9
2004,85,1,547520,0.5
2004,90,1,306124,0.3
2005,15,1,13986088,10.7
2005,20,1,17960346,13.8
2005,25,1,16188242,12.4
2005,30,1,14306505,11.0
2005,35,1,13254354,10.1
2005,40,1,12278037,9.4
2005,45,1,10516466,8.0
2005,50,1,8623561,6.6
2005,55,1,6761728,5.2
2005,60,1,5069578,3.9
2005,65,1,4063480,3.1
2005,70,1,2989210,2.3
2005,75,1,2133020,1.6
2005,80,1,1226862,1.0
2005,85,1,572304,0.5
2005,90,1,313427,0.3
2006,15,1,13877611,10.5
2006,20,1,17983683,13.5
2006,25,1,16579582,12.5
2006,30,1,14590689,11.0
2006,35,1,13393467,10.1
2006,40,1,12482076,9.4
2006,45,1,10839702,8.2
2006,50,1,8937019,6.8
2006,55,1,7054866,5.3
2006,60,1,5271797,4.0
2006,65,1,4162692,3.1
2006,70,1,3082622,2.3
2006,75,1,2190158,1.7
2006,80,1,1287905,1.0
2006,85,1,600073,0.5
2006,90,1,323395,0.3
2007,15,1,13814273,10.2
2007,20,1,17871791,13.3
2007,25,1,16986197,12.6
2007,30,1,14913958,11.0
2007,35,1,13536501,10.1
2007,40,1,12646465,9.4
2007,45,1,11166621,8.2
2007,50,1,9249416,6.8
2007,55,1,7349075,5.4
2007,60,1,5513487,4.1
2007,65,1,4250785,3.1
2007,70,1,3194031,2.3
2007,75,1,2239350,1.7
2007,80,1,1354364,1.0
2007,85,1,630986,0.5
2007,90,1,337097,0.3
2008,15,1,13782856,10.0
2008,20,1,17674357,12.9
2008,25,1,17363699,12.6
2008,30,1,15268717,11.1
2008,35,1,13697042,9.9
2008,40,1,12783678,9.3
2008,45,1,11483586,8.4
2008,50,1,9561999,7.0
2008,55,1,7644993,5.6
2008,60,1,5783963,4.2
2008,65,1,4343115,3.1
2008,70,1,3314471,2.5
2008,75,1,2287859,1.7
2008,80,1,1421793,1.0
2008,85,1,665093,0.5
2008,90,1,353863,0.3
2009,15,1,13761500,9.8
2009,20,1,17472598,12.5
2009,25,1,17646823,12.6
2009,30,1,15643256,11.2
2009,35,1,13893386,9.9
2009,40,1,12913450,9.3
2009,45,1,11770215,8.4
2009,50,1,9877343,7.1
2009,55,1,7945147,5.7
2009,60,1,6065924,4.3
2009,65,1,4462513,3.1
2009,70,1,3430343,2.5
2009,75,1,2345842,1.7
2009,80,1,1484515,1.0
2009,85,1,702752,0.5
2009,90,1,373058,0.3
2010,15,1,13736966,9.7
2010,20,1,17319107,12.2
2010,25,1,17797553,12.5
2010,30,1,16025477,11.2
2010,35,1,14135911,9.9
2010,40,1,13050164,9.2
2010,45,1,12014841,8.4
2010,50,1,10195824,7.2
2010,55,1,8250688,5.8
2010,60,1,6348447,4.5
2010,65,1,4621978,3.3
2010,70,1,3535046,2.5
2010,75,1,2418507,1.7
2010,80,1,1540149,1.1
2010,85,1,743640,0.5
2010,90,1,394087,0.3
2011,15,1,13717916,9.5
2011,20,1,17205781,11.9
2011,25,1,17822613,12.3
2011,30,1,16415898,11.4
2011,35,1,14420686,10.0
2011,40,1,13192312,9.1
2011,45,1,12220897,8.4
2011,50,1,10516455,7.3
2011,55,1,8558690,5.9
2011,60,1,6633208,4.5
2011,65,1,4817408,3.3
2011,70,1,3631693,2.5
2011,75,1,2504505,1.7
2011,80,1,1590517,1.1
2011,85,1,787832,0.5
2011,90,1,417546,0.3
2012,15,1,13707495,9.3
2012,20,1,17136273,11.7
2012,25,1,17714321,12.1
2012,30,1,16821840,11.4
2012,35,1,14744294,10.1
